type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-53,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,24951,0,28,0,0,0.160496,128,[28 -64 1 0 22 2 26 1 26 0 27 0 28 1 27 1 26 1 24 2 22 2 19 1 17 1 16 -1 14 -2 12 -4 12 -5 11 -7 12 -8 12 -9 13 -9 15 -7 16 -7 16 -4 16 -2 15 0 14 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 14 9 17 6 17 4 18 2 17 1 17 0 15 0 14 2 13 3 12 5 12 7 13 10 14 11 16 14 19 14 20 14 22 13 22 14 24 13 23 12 22 12 21 11 18 12 16 14 13 16 9 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-53,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,31207,0,28,0,0,0.166468,128,[28 -64 1 0 -33 -4 -29 -3 -25 -2 -22 1 -19 3 -17 6 -16 8 -15 11 -14 13 -16 15 -17 16 -18 16 -19 16 -20 14 -20 12 -20 10 -19 8 -18 6 -16 4 -14 4 -12 3 -11 4 -10 4 -11 4 -12 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 -4 -12 -4 -13 -4 -15 -3 -17 -4 -19 -5 -21 -7 -22 -10 -22 -12 -22 -15 -21 -17 -19 -18 -18 -18 -16 -17 -15 -16 -15 -13 -15 -10 -16 -8 -18 -5 -21 -2 -24 0 -27 1 -31 2 -33 1 -36 1 -38 -1 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-53,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,52453,0,28,0,0,0.187043,128,[28 -64 1 0 21 -9 22 -10 24 -11 25 -12 25 -12 25 -11 24 -10 23 -8 21 -8 18 -8 16 -7 14 -7 12 -8 9 -8 9 -10 8 -11 8 -12 8 -13 9 -13 10 -13 12 -12 13 -10 14 -8 14 -6 14 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 7 16 10 14 12 12 14 10 14 9 14 7 13 7 12 7 10 8 9 10 8 13 8 16 8 18 9 20 10 22 11 23 13 23 14 23 15 22 15 21 14 20 13 18 11 18 8 18 5 19 1 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-53,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,159946,0,28,0,0,0.294548,128,[28 -64 1 0 -14 -21 -15 -21 -17 -22 -17 -23 -17 -23 -17 -24 -16 -23 -14 -22 -13 -21 -12 -18 -11 -16 -11 -14 -10 -12 -10 -10 -11 -8 -12 -6 -13 -6 -14 -6 -15 -7 -15 -8 -15 -9 -14 -11 -12 -12 -10 -13 -8 -14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -20 8 -18 11 -16 12 -15 13 -13 12 -11 11 -10 10 -10 8 -10 7 -12 5 -14 5 -16 5 -19 6 -22 7 -23 8 -25 9 -26 10 -27 11 -27 11 -25 10 -24 10 -23 7 -22 4 -20 1 -20 -3 -20 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-53,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,160573,0,28,0,0,0.300844,128,[28 -64 1 0 -32 6 -30 5 -25 5 -21 6 -18 8 -15 9 -13 12 -11 14 -9 17 -10 19 -10 20 -12 21 -13 21 -13 19 -15 19 -15 16 -16 14 -15 12 -14 9 -13 8 -12 7 -10 7 -9 7 -9 7 -9 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 0 -13 0 -14 0 -17 0 -18 0 -21 -1 -23 -3 -24 -5 -25 -8 -24 -10 -24 -13 -22 -13 -21 -14 -19 -13 -18 -12 -16 -9 -17 -7 -17 -3 -19 1 -21 4 -24 6 -27 8 -29 10 -32 10 -35 11 -38 9 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-53,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,161210,0,28,0,0,0.30681,128,[28 -64 1 0 19 16 21 17 23 18 25 18 24 19 23 19 23 18 21 18 19 16 17 15 15 13 14 11 13 8 13 6 13 4 13 2 14 1 16 1 17 1 17 2 18 4 17 6 15 8 13 11 11 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 -4 21 -7 20 -10 19 -10 16 -10 15 -10 13 -8 13 -6 13 -5 14 -3 16 -2 18 -1 21 -1 23 -1 26 -1 28 -2 30 -3 30 -4 31 -5 30 -4 28 -4 27 -2 24 0 22 4 21 7 19 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-53,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,161846,0,28,0,0,0.3123,128,[28 -64 1 0 28 -17 24 -15 20 -14 17 -14 13 -14 10 -15 7 -16 4 -18 3 -21 2 -22 2 -24 3 -24 3 -24 5 -24 7 -23 9 -21 9 -19 10 -17 10 -14 9 -12 8 -11 7 -10 6 -9 5 -10 5 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 -6 11 -6 12 -7 13 -8 16 -8 18 -8 21 -7 23 -6 24 -3 25 -1 25 1 25 3 23 4 22 4 20 3 18 1 16 -1 16 -5 16 -9 17 -12 18 -15 20 -19 23 -21 25 -22 28 -23 30 -23 ]
CSI_DATA,PASSIVE,A8:A2:37:08:A0:9A,-52,11,1,7,0,1,1,1,1,0,1,-96,1,6,0,207692,0,649,0,0,0.342451,384,[-119 -110 40 0 1 -2 3 3 7 9 10 12 15 15 18 17 22 18 24 18 26 18 26 16 25 14 23 12 20 9 16 7 11 5 5 3 0 1 -4 0 -9 -1 -13 -3 -17 -3 -19 -4 -21 -6 -21 -9 -20 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 20 -19 21 -24 21 -27 20 -29 20 -29 18 -29 18 -27 16 -24 14 -20 11 -15 6 -10 2 -4 -3 2 -8 6 -13 11 -18 14 -23 16 -27 15 -30 14 -32 12 -34 10 -34 7 -33 5 -29 2 -25 1 -20 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-52,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,213597,0,28,0,0,0.348344,128,[28 -64 1 0 24 4 26 3 28 3 28 3 29 4 29 4 26 5 25 4 23 5 21 4 18 2 16 1 14 -2 13 -3 12 -5 13 -6 14 -6 15 -8 16 -8 16 -6 17 -5 18 -2 17 0 15 2 14 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 16 8 18 5 20 2 20 0 20 -2 19 -2 18 -3 16 -1 14 0 14 2 14 5 14 7 16 9 18 11 20 12 22 12 24 12 26 11 27 11 27 10 25 10 24 10 22 11 19 13 15 15 12 ]
CSI_DATA,PASSIVE,A8:A2:37:08:A0:9A,-49,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,321053,0,30,0,0,0.455645,128,[30 -32 1 0 1 2 -5 2 -10 3 -15 5 -20 7 -23 9 -25 12 -26 14 -26 16 -25 17 -23 17 -21 15 -17 14 -13 11 -10 7 -6 3 -2 0 1 -4 4 -8 6 -11 9 -13 11 -14 13 -16 15 -15 17 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -16 -15 -15 -20 -14 -25 -13 -28 -12 -29 -11 -30 -11 -29 -10 -27 -8 -25 -6 -21 -3 -16 -1 -9 2 -3 5 3 9 8 12 14 15 17 18 20 21 21 24 22 25 21 26 18 25 16 24 13 21 10 17 7 ]
