type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-50,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,123253,0,28,0,0,0.259545,128,[28 -64 1 0 -26 -12 -27 -13 -26 -12 -27 -13 -25 -13 -23 -13 -22 -11 -20 -11 -19 -9 -17 -7 -16 -5 -16 -3 -16 -1 -15 -1 -17 0 -17 0 -18 0 -18 -2 -18 -3 -17 -5 -16 -7 -14 -7 -13 -8 -11 -9 -9 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -14 -13 -12 -16 -10 -16 -8 -17 -7 -16 -7 -16 -6 -16 -7 -15 -7 -15 -9 -15 -10 -17 -11 -18 -12 -19 -12 -21 -13 -24 -12 -24 -12 -25 -11 -25 -11 -25 -11 -23 -11 -22 -11 -20 -13 -18 -15 -16 -18 -14 -21 -14 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-50,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,153549,0,28,0,0,0.288865,128,[28 -64 1 0 -18 -20 -17 -17 -16 -14 -17 -11 -17 -9 -19 -7 -20 -6 -22 -5 -23 -5 -23 -5 -23 -6 -23 -7 -21 -7 -20 -8 -18 -9 -15 -8 -14 -8 -13 -8 -11 -7 -11 -5 -11 -5 -11 -5 -12 -5 -12 -7 -12 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 -9 -12 -10 -13 -12 -13 -13 -13 -15 -12 -17 -12 -19 -10 -21 -9 -22 -7 -22 -6 -22 -5 -22 -4 -21 -5 -20 -6 -19 -8 -18 -10 -17 -12 -18 -14 -18 -16 -18 -19 -20 -20 -21 -22 -22 -22 -23 -22 -25 -22 -26 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-49,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,214494,0,28,0,0,0.349792,128,[28 -64 1 0 -28 1 -24 2 -22 4 -20 6 -19 8 -18 11 -18 13 -18 13 -19 14 -19 14 -20 13 -20 12 -20 11 -19 9 -18 7 -17 6 -15 5 -14 5 -12 4 -11 5 -11 5 -12 5 -12 5 -14 4 -15 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 4 -15 3 -17 3 -18 2 -20 1 -21 0 -22 -1 -23 -3 -23 -6 -23 -7 -22 -9 -21 -10 -21 -10 -20 -9 -19 -8 -20 -6 -20 -4 -21 -2 -23 0 -25 1 -27 2 -29 3 -31 3 -32 2 -33 1 -34 1 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-50,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,215115,0,28,0,0,0.355732,128,[28 -64 1 0 -17 -22 -16 -18 -16 -16 -16 -13 -17 -11 -19 -9 -20 -9 -21 -7 -22 -7 -23 -8 -23 -8 -22 -9 -20 -10 -19 -11 -16 -11 -14 -10 -13 -9 -12 -9 -11 -8 -11 -7 -11 -7 -11 -7 -12 -7 -11 -9 -10 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 -9 -12 -10 -12 -12 -13 -13 -13 -15 -12 -17 -12 -19 -10 -21 -9 -22 -7 -23 -7 -23 -6 -23 -5 -22 -5 -21 -5 -20 -7 -19 -9 -19 -11 -19 -14 -19 -15 -20 -17 -21 -19 -23 -20 -24 -21 -25 -21 -26 -21 -27 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-49,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,215761,0,28,0,0,0.362211,128,[28 -64 1 0 18 23 18 23 18 23 17 23 16 23 15 21 14 20 13 17 13 15 12 13 12 11 12 9 13 8 14 7 15 6 15 7 15 8 15 9 14 11 12 11 11 12 8 12 7 12 4 11 3 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 18 4 19 2 19 0 18 -2 18 -2 17 -2 17 -2 17 -1 17 -1 17 0 18 1 20 1 22 1 24 0 25 0 27 -1 27 -1 27 -2 26 -1 26 -1 24 1 24 3 23 5 21 8 21 12 21 ]
CSI_DATA,PASSIVE,94:F8:27:AD:AE:74,-61,11,1,7,0,0,1,0,0,0,1,-96,0,6,0,373417,0,143,0,0,0.508762,256,[-113 -16 8 0 14 16 15 16 14 15 14 14 15 14 15 14 16 13 16 14 16 13 16 12 17 12 17 11 17 11 17 12 17 12 17 13 15 12 15 12 14 12 14 12 13 12 12 12 11 11 10 12 9 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 10 9 11 9 13 9 13 9 15 8 15 8 16 9 17 9 18 8 18 8 18 8 19 8 19 8 19 9 18 8 19 9 18 9 18 10 17 10 18 11 17 11 17 11 17 12 17 13 17 13 16 ]
CSI_DATA,PASSIVE,A8:A2:37:08:A0:9A,-53,11,1,7,0,1,1,1,1,0,1,-96,1,6,0,406232,0,649,0,0,0.541755,384,[-119 -110 40 0 1 2 2 -3 3 -10 3 -16 2 -20 1 -25 0 -28 -1 -30 -2 -31 -2 -31 -3 -30 -3 -27 -4 -23 -4 -19 -3 -14 -2 -9 -2 -3 -2 1 -3 6 -3 10 -4 13 -5 16 -7 18 -10 19 -13 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -24 2 -27 6 -30 9 -31 12 -31 14 -30 14 -29 14 -27 13 -23 11 -19 8 -13 4 -8 0 -2 -5 3 -9 9 -14 14 -17 19 -19 22 -20 25 -20 28 -19 29 -17 29 -15 28 -13 26 -10 23 -7 18 ]
CSI_DATA,PASSIVE,A8:A2:37:08:A0:9A,-53,11,1,7,0,1,1,1,1,0,1,-96,1,6,0,406418,0,649,0,0,0.547785,384,[-119 -110 40 0 -4 0 3 3 8 4 14 4 20 5 23 4 27 3 29 2 29 1 30 1 29 0 26 0 23 -1 18 0 14 -1 8 -1 3 -2 -2 -3 -7 -4 -11 -5 -14 -6 -16 -7 -18 -9 -19 -12 -17 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 -2 27 3 28 7 30 11 30 13 29 15 27 16 25 15 22 14 17 12 12 9 7 5 1 0 -4 -6 -10 -10 -14 -14 -18 -18 -22 -20 -26 -22 -27 -22 -29 -21 -28 -20 -27 -17 -26 -14 -23 -11 -19 -9 ]
CSI_DATA,PASSIVE,B0:CA:68:91:B2:F5,-50,9,0,0,0,0,0,0,0,0,0,-96,0,6,0,421986,0,28,0,0,0.557323,128,[28 -64 1 0 -1 25 0 23 2 20 4 19 6 18 8 17 10 17 11 17 13 17 12 18 12 19 11 19 9 19 7 18 5 17 4 15 4 14 3 12 3 11 3 11 4 10 4 10 4 11 3 12 1 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 13 3 14 2 14 1 16 0 17 -1 19 -3 20 -4 21 -7 21 -8 21 -9 20 -10 19 -10 19 -9 18 -8 17 -7 17 -5 18 -3 19 -2 21 0 23 1 25 1 27 1 29 1 30 0 32 -1 32 ]
CSI_DATA,PASSIVE,A8:A2:37:08:A0:9A,-53,11,1,7,0,1,1,1,1,0,1,-96,1,6,0,423669,0,143,0,0,0.562782,384,[-113 -16 8 0 4 -2 -3 0 -9 2 -15 5 -20 9 -24 11 -27 15 -27 16 -28 18 -29 19 -27 19 -25 18 -22 16 -17 13 -13 10 -8 6 -3 3 1 -1 6 -4 9 -6 14 -8 16 -9 19 -9 22 -7 23 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -24 6 -30 2 -33 -2 -36 -5 -36 -7 -37 -9 -36 -10 -33 -11 -30 -10 -24 -9 -19 -7 -12 -6 -3 -2 4 1 11 4 17 6 24 8 29 9 34 9 36 9 37 6 37 5 35 3 33 1 28 -1 24 -2 ]
